date,portfolio_value,benchmark_value,position,signal,prediction,actual,cash,position_size,pnl,cumulative_return,benchmark_return,price,consecutive_losses
2023-01-06,111244.4,105964.76,0,0,0.004664735570310578,0.01580637496030346,111244.4,0.0,0.0,0.11244396357745486,0.05964757875118259,9005.86,1.0
2023-01-09,111244.4,105648.72,1,1,0.007705882255399582,0.02536919478783828,0.0,111133.15,0.0,0.11244396357745486,0.05648717719427877,8979.0,1.0
2023-01-10,112082.09,107110.08,0,0,0.0026183544893863854,0.009548290710958751,112082.09,0.0,1061.13,0.12082089320336294,0.07110079868971603,9103.2,0.0
2023-01-11,112082.09,105758.03,1,1,0.008367721465469578,0.03407322193654161,0.0,111970.01,0.0,0.12082089320336294,0.05758025725621628,8988.29,0.0
2023-01-12,116741.39,106405.28,1,1,0.007155853357881129,0.04161202216005244,0.0,116629.31,4659.3,0.16741387742494568,0.06405284436140123,9043.3,0.0
2023-01-13,120367.17,107639.68,1,1,0.006116935182221123,0.031088048918859634,0.0,120255.08,3625.78,0.20367165302013077,0.07639676570670141,9148.21,0.0
2023-01-16,123271.17,108328.94,0,0,0.0011220230119357568,0.026106818989028557,123271.17,0.0,3139.48,0.2327116634173444,0.08328940618337409,9206.79,0.0
2023-01-17,123271.17,108132.8,0,0,0.0008920871382445412,0.024078031625267116,123271.17,0.0,0.0,0.2327116634173444,0.08132798049634556,9190.12,0.0
2023-01-18,123271.17,109361.54,0,0,0.001816844341328009,0.022043025213700718,123271.17,0.0,0.0,0.2327116634173444,0.09361542407741218,9294.55,0.0
2023-01-19,123271.17,110833.02,-1,-1,-0.007843181400945254,0.013344501523948393,0.0,123147.9,0.0,0.2327116634173444,0.10833023490043445,9419.61,0.0
2023-01-20,122022.79,110985.98,-1,-1,-0.005064666697148088,0.010137173062386706,0.0,121899.52,-1248.37,0.22022794816072827,0.10985984101509384,9432.61,0.0
2023-01-23,120918.48,111157.06,0,0,-0.0031548978385959377,0.007055037762711436,120918.48,0.0,-860.01,0.20918478389218595,0.11157064662333563,9447.15,1.0
2023-01-24,120918.48,110736.42,0,0,-0.00024147217010184614,0.011990777142614206,120918.48,0.0,0.0,0.20918478389218595,0.10736422980802264,9411.4,1.0
2023-01-25,120918.48,111772.2,0,0,0.0019942719739584757,0.010961710334199015,120918.48,0.0,0.0,0.20918478389218595,0.11772201644444241,9499.43,1.0
2023-01-26,120918.48,112312.03,0,0,-0.0004348538937391153,0.0010979213875716987,120918.48,0.0,0.0,0.20918478389218595,0.12312034940910133,9545.31,1.0
